Strike,true_sigma,price,implied_vol
60.0,0.3,40.339583,0.3
65.0,0.276563,35.394786,0.276562
70.0,0.25625,30.478474,0.25625
75.0,0.239062,25.620679,0.239062
80.0,0.225,20.880672,0.225
85.0,0.214063,16.36475,0.214063
90.0,0.20625,12.235452,0.20625
95.0,0.201562,8.687209,0.201562
100.0,0.2,5.876024,0.2
105.0,0.201562,3.841659,0.201562
110.0,0.20625,2.490394,0.20625
115.0,0.214063,1.652322,0.214063
120.0,0.225,1.156649,0.225
125.0,0.239062,0.873704,0.239063
130.0,0.25625,0.720296,0.25625
135.0,0.276563,0.648442,0.276562
140.0,0.3,0.632633,0.3
